# y+ ()       
# Time        	patch         	min           	max           	average       
1             	pipe	2.954745e+01	7.403708e+01	6.652466e+01
2             	pipe	1.148455e+02	3.350538e+02	3.048875e+02
3             	pipe	1.678592e+02	4.169105e+02	3.788592e+02
4             	pipe	1.980607e+02	4.032283e+02	3.441850e+02
5             	pipe	2.206405e+02	4.120708e+02	3.152954e+02
6             	pipe	2.208124e+02	3.690458e+02	2.727185e+02
7             	pipe	1.645321e+02	2.769821e+02	1.960188e+02
8             	pipe	1.452885e+02	3.074598e+02	1.903922e+02
9             	pipe	1.405806e+02	3.511056e+02	2.074110e+02
10            	pipe	1.427026e+02	3.607094e+02	2.045672e+02
11            	pipe	1.321718e+02	3.415983e+02	1.734467e+02
12            	pipe	1.138922e+02	3.122109e+02	1.657721e+02
13            	pipe	9.650388e+01	2.978821e+02	1.696361e+02
14            	pipe	7.940290e+01	2.838902e+02	1.686364e+02
15            	pipe	6.219648e+01	2.680925e+02	1.667220e+02
16            	pipe	4.971962e+01	2.604720e+02	1.729659e+02
17            	pipe	4.062164e+01	2.561864e+02	1.806261e+02
18            	pipe	3.403245e+01	2.473165e+02	1.821967e+02
19            	pipe	2.929721e+01	2.331005e+02	1.813091e+02
20            	pipe	2.590178e+01	2.261121e+02	1.801822e+02
21            	pipe	2.345092e+01	2.221097e+02	1.789752e+02
22            	pipe	2.165519e+01	2.171328e+02	1.776561e+02
23            	pipe	2.005208e+01	2.116718e+02	1.764674e+02
24            	pipe	1.881120e+01	2.059192e+02	1.755191e+02
25            	pipe	1.785938e+01	2.016173e+02	1.746157e+02
26            	pipe	1.713104e+01	1.982056e+02	1.734977e+02
27            	pipe	1.657717e+01	1.938929e+02	1.720626e+02
28            	pipe	1.615734e+01	1.901893e+02	1.703637e+02
29            	pipe	1.583783e+01	1.869052e+02	1.685108e+02
30            	pipe	1.559192e+01	1.830536e+02	1.665993e+02
31            	pipe	1.539977e+01	1.787970e+02	1.646874e+02
32            	pipe	1.524746e+01	1.760230e+02	1.627933e+02
33            	pipe	1.512548e+01	1.733564e+02	1.609074e+02
34            	pipe	1.502730e+01	1.711007e+02	1.590125e+02
35            	pipe	1.494825e+01	1.689294e+02	1.570978e+02
36            	pipe	1.488480e+01	1.669353e+02	1.551653e+02
37            	pipe	1.483416e+01	1.652547e+02	1.532270e+02
38            	pipe	1.479410e+01	1.633885e+02	1.512970e+02
39            	pipe	1.476277e+01	1.616462e+02	1.493861e+02
40            	pipe	1.473861e+01	1.598804e+02	1.474997e+02
41            	pipe	1.472026e+01	1.580867e+02	1.456390e+02
42            	pipe	1.470654e+01	1.563985e+02	1.438031e+02
43            	pipe	1.469646e+01	1.545817e+02	1.419909e+02
44            	pipe	1.468916e+01	1.528713e+02	1.402025e+02
45            	pipe	1.468399e+01	1.511254e+02	1.384394e+02
46            	pipe	1.468039e+01	1.493297e+02	1.367033e+02
47            	pipe	1.467791e+01	1.476386e+02	1.349955e+02
48            	pipe	1.467621e+01	1.458511e+02	1.333169e+02
49            	pipe	1.467501e+01	1.441861e+02	1.316676e+02
50            	pipe	1.467414e+01	1.424740e+02	1.300472e+02
51            	pipe	1.467346e+01	1.408224e+02	1.284556e+02
52            	pipe	1.467287e+01	1.391752e+02	1.268924e+02
53            	pipe	1.467233e+01	1.375651e+02	1.253573e+02
54            	pipe	1.467179e+01	1.359734e+02	1.238500e+02
